date,ticker,side,shares,price,value,cost
2026-07-13,603929,buy,0.962,207.9,200.0,0.4
2026-07-13,603986,buy,0.3631,550.8,200.0,0.4
2026-07-13,603993,buy,11.8624,16.86,200.0,0.4
2026-07-13,605090,buy,4.787,41.78,200.0,0.4
2026-07-13,605111,buy,2.9722,67.29,200.0,0.4
2026-07-13,605117,buy,2.3759,84.18,200.0,0.4
2026-07-13,605358,buy,3.4843,57.4,200.0,0.4
2026-07-13,605376,buy,1.087,183.99,200.0,0.4
2026-07-13,605499,buy,1.6584,120.6,200.0,0.4
2026-07-13,605589,buy,3.996,50.05,200.0,0.4
2026-07-13,688001,buy,3.3956,58.9,200.0,0.4
2026-07-13,688002,buy,1.4128,141.56,200.0,0.4
2026-07-13,688008,buy,0.7912,252.79,200.0,0.4
2026-07-13,688012,buy,0.4895,408.6,200.0,0.4
2026-07-13,688017,buy,0.527,379.51,200.0,0.4
2026-07-13,688018,buy,1.5898,125.8,200.0,0.4
2026-07-13,688019,buy,0.6721,297.58,200.0,0.4
2026-07-13,688025,buy,0.5083,393.5,200.0,0.4
2026-07-13,688027,buy,0.4751,421.0,200.0,0.4
2026-07-13,688036,buy,3.1041,64.43,200.0,0.4
2026-07-13,688037,buy,0.5291,378.0,200.0,0.4
2026-07-13,688041,buy,0.5797,345.0,200.0,0.4
2026-07-13,688047,buy,1.444,138.5,200.0,0.4
2026-07-13,688048,buy,0.4954,403.69,200.0,0.4
2026-07-13,688052,buy,0.8376,238.78,200.0,0.4
2026-07-13,688072,buy,0.2367,845.0,200.0,0.4
2026-07-13,688082,buy,0.5012,399.06,200.0,0.4
2026-07-13,688099,buy,2.0394,98.07,200.0,0.4
2026-07-13,688102,buy,4.8508,41.23,200.0,0.4
2026-07-13,688110,buy,1.2974,154.15,200.0,0.4
2026-07-13,688111,buy,0.8828,226.55,200.0,0.4
2026-07-13,688120,buy,0.6144,325.51,200.0,0.4
2026-07-13,688122,buy,3.7922,52.74,200.0,0.4
2026-07-13,688123,buy,1.0811,185.0,200.0,0.4
2026-07-13,688126,buy,5.5772,35.86,200.0,0.4
2026-07-13,688127,buy,2.6144,76.5,200.0,0.4
2026-07-13,688141,buy,1.4456,138.35,200.0,0.4
2026-07-13,688146,buy,0.818,244.5,200.0,0.4
2026-07-13,688147,buy,1.5038,133.0,200.0,0.4
2026-07-13,688167,buy,0.7563,264.45,200.0,0.4
2026-07-13,688172,buy,2.7988,71.46,200.0,0.4
2026-07-13,688183,buy,1.8016,111.01,200.0,0.4
2026-07-13,688195,buy,1.361,146.95,200.0,0.4
2026-07-13,688200,buy,0.409,489.0,200.0,0.4
2026-07-13,688205,buy,1.2579,159.0,200.0,0.4
2026-07-13,688213,buy,2.068,96.71,200.0,0.4
2026-07-13,688220,buy,1.6481,121.35,200.0,0.4
2026-07-13,688223,buy,49.2611,4.06,200.0,0.4
2026-07-13,688233,buy,1.2961,154.31,200.0,0.4
2026-07-13,688234,buy,1.4431,138.59,200.0,0.4
2026-07-13,688235,buy,0.7675,260.6,200.0,0.4
2026-07-13,688249,buy,3.9147,51.09,200.0,0.4
2026-07-13,688256,buy,0.1439,1390.0,200.0,0.4
2026-07-13,688257,buy,2.6309,76.02,200.0,0.4
2026-07-13,688270,buy,2.3063,86.72,200.0,0.4
2026-07-13,688271,buy,1.8452,108.39,200.0,0.4
2026-07-13,688300,buy,1.207,165.7,200.0,0.4
